Qty;Value;Device;Package;Parts;Description;DIGIKEY;DM;DNP;DR;DX;DY;MF;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;PARTNO;SHEETNO;SUPPLIER;TP_SIGNAL_NAME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2920L185DR;2920L;2920L;PTC1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;330R;R-US_R0603;R0603;R9;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;36-2998-ND;COIN_CELL_6.8MM;BATTERY_6.8MM-2998;B1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;47R;R-US_R0603;R0603;R1;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;600R;INDUCTOR-0603;0603-IND;L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;600R 1A;FB0603;C0603;FB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;74AHC1G126DCK;74AHC1G126DCK;SC70-5;IC4;Single Bus Buffer Gate With 3-State Outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ABLS-25MHz;CSM-7X-DU;CSM-7X-DU;Q1;SMD CRYSTAL;;;;;;;;;unknown;unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ASPIRIN;ASPIRIN;ASPIRIN_1;IMU;;;;;;;;;;;;;ASP6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B360B-13-F;DIODE-SMB;SMB;D1;DIODE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;DEUTSCH_48_PIN;DEUTSCH_48_PIN;DEUTSCH_48_PIN;U$5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;EDISON_CONNECTOR_SEGMENTED;EDISON_CONNECTOR_SEGMENTED;EDISON_DAUGHTER;E_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;FT232RL;FT232RL;SSOP28;IC3;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf;;;;;;;;FT232RL;1146032;91K9918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;GPS_UBLOX;GPS_UBLOX;GPS_UBLOX;U$3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;GREEN;LED0603;D0603;D2;;;0;;90;57.2;1.8;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;OKI-78SR-3.3/1.5-W36-C;OKI-78SR-3.3/1.5-W36-C;OKI-78SR;U$9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;OKI-78SR-5/1.5-W36-C;OKI-78SR-5/1.5-W36-C;OKI-78SR;U$1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;PIN_HDR_EDG_1.27MM_5-2;CONN_5-2-FTSH-V;FTSH-105-DV;JTAG;;;;T;;;;;;;;;conn-smd-0.05in-5-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;SMBJ20CA-TR;SUPPRESSOR-SMBJ;SMBJ;TVS1;Suppressor diode;;;;;;;;;;;;SM30T35AY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;STM32F207VC;STM32F207VC;LQFP100;U1;STM32F207VC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;TRS3232EQPWRQ1;TRS3232EQPWRQ1;SOP65P640X120-16N;U2;RS-232 LINE DRIVER/RECEIVER;296-24863-1-ND;;;;;;;TRS3232EQPWRQ1;0;09R6724;TSSOP-16;;;Texas Instruments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;100p;C-EUC0603;C0603@1;C58; C59;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10u; 25V; X5R;C-EUC0603;C0603@1;C50; C53;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;120R; 1%;R-US_R0603;R0603;R64; R65;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2.2u;C-EUC0603;C0603@1;C19; C20;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;22u;C-USC1206;C1206;C26; C27;CAPACITOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2k43;R-US_R0603;R0603;R31; R32;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;30p;C-EUC0603;C0603@1;C5; C10;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;41k7;R-US_R0603;R0603;R44; R45;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;BTS3405G;BTS3405G;SOIC8;U3; U13;Smart Low-Side Power Switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;BZA456A;BZA456A;SOT457R_PHILIPS;U8; U16;BZA456A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ISO1050DUB;ISO1050DUB;DUB-R-PDSO-G8;IC1; IC2;ISOLATED CAN TRANSCEIVER;;;;;;;;ISO1050DUBR;1755712;14R9899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ISP452;ISP452;SOT223-W;U4; U12;ISP 452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;MOLEX-47346-0001;MOLEX-47346-0001;MOLEX-47364-0001;USB1; USB2;MICRO USB B; BOTTOM MOUNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;R1SE;R1SE;R1SE;U$7; U$8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;TLV2374QPWRG4Q1;TLV2374QPWRG4Q1;TSSOP14;U$2; U$6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;USD-SOCKETNEW;USD-SOCKETNEW;MICRO-SD-SOCKET-PP;U9; U14;microSD Socket;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;TXB0108;TXB0108;UFDFN-20;U7; U17; U19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;74LVC2G17;74LVC2G17;SOT363_INFINEON;U5; U6; U10; U11;74LVC2G17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1k1;R-US_R0603;R0603;R7; R20; R25; R26; R28; R71;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2k2;R-US_R0603;R0603;R8; R22; R27; R29; R30; R70;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;DK:MMBT3904LT1GOSCT-ND;-NPN-SOT23-EBC;SOT23-EBC;T1; T2; T3; T4; T5; T6;NPN Transistror;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1u;C-EUC0603;C0603@1;C1; C3; C4; C7; C9; C11; C12;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4k7;R-US_R0603;R0603;R10; R35; R38; R43; R55; R60; R63;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000p;C-EUC0603;C0603@1;C41; C42; C43; C44; C45; C46; C47; C48;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1k;R-US_R0603;R0603;R39; R40; R48; R49; R50; R51; R56; R57;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;470R;R-US_R0603;R0603;R6; R16; R17; R18; R52; R53; R54; R72;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;10k;R-US_R0603;R0603;R2; R3; R4; R5; R11; R14; R15; R19; R21; R23; R24; R33; R34; R36; R37; R41; R42; R46; R47; R58; R59; R61; R62;RESISTOR; American symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;0.1u;C-EUC0603;C0603@1;C2; C6; C8; C13; C14; C15; C16; C17; C18; C21; C22; C23; C24; C25; C28; C29; C30; C32; C33; C35; C36; C37; C38; C39; C40; C49; C51; C52; C54; C55; C56; C57; C61; C62; C63; C64; C65; C66; C67; C68; C69; C70; C71;CAPACITOR; European symbol;;;;;;;;;;;;;;;;;;;;;;
63;TPB1;27;TPB1;27;B1;27;TG1; TG2; TG3; TG4; TG5; TG6; TP1; TP2; TP3; TP4; TP5; TP6; TP7; TP8; TP9; TP10; TP11; TP12; TP13; TP14; TP15; TP16; TP17; TP18; TP19; TP20; TP21; TP22; TP23; TP24; TP25; TP26; TP27; TP28; TP29; TP30; TP31; TP32; TP33; TP34; TP35; TP36; TP37; TP38; TP39; TP40; TP41; TP42; TP43; TP44; TP45; TP46; TP47; TP48; TP49; TP50; TP51; TP52; TP53; TP54; TP55; TP56; TP57;Test pad
